info,Samp_ID,samp_mg,Ntime_min,N_resp,N_wght_mg,N_wght_p,ele_N,NC_resp_r,Ctime_min,C_resp,C_wght_mg,C_wght_p,ele_C,CC_resp_r,,,,,
165-016C-48_GREEN_8_23_2023 10_27_26 AM_016,165-016C-48_GREEN,,3.033,,1.853,254.736,0.105,,3.46,Nitrogen,0.03,2.973,8634.76,1.357,,44.76,,,
165-016C-48-DRY_7_14_2023 10_16_07 AM_015,165-016C-48-DRY,4.707,1.871,226.814,0.086,1.84,Nitrogen,0.019,2.973,11805.091,1.833,38.94,Carbon,1,,,,,
165-016C-49_GREEN_8_23_2023 11_09_33 AM_023,165-016C-49_GREEN,,3.086,,1.849,223.89,0.093,,3,Nitrogen,0.03,3.004,7484.292,1.169,,37.87,,,
165-016C-49-DRY_7_14_2023 9_58_04 AM_012,165-016C-49-DRY,4.207,1.876,234.634,0.089,2.12,Nitrogen,0.023,3.004,10417.716,1.605,38.16,Carbon,1,,,,,
165-016C-52_GREEN_8_23_2023 10_45_29 AM_019,165-016C-52_GREEN,,3.183,,1.849,217.592,0.09,,2.83,Nitrogen,0.028,2.987,7814.68,1.223,,38.41,,,
165-016C-52-DRY_7_14_2023 10_22_08 AM_016,165-016C-52-DRY,4.188,1.867,186.474,0.071,1.7,Nitrogen,0.018,2.996,10365.769,1.597,38.13,Carbon,1,,,,,
165-016C-54_GREEN_8_23_2023 10_51_30 AM_020,165-016C-54_GREEN,,3.173,,1.849,253.225,0.104,,3.29,Nitrogen,0.032,2.991,7957.535,1.246,,39.27,,,
165-016C-54-DRY_8_10_2023 3_03_19 PM_051,165-016C-54-DRY,4.954,1.871,281.026,0.113,2.28,Nitrogen,0.023,2.942,12153.128,1.945,39.26,Carbon,1,,,,,
165-016C-54-DRY_8_10_2023 3_03_19 PM_051,165-016C-54-DRY,4.954,1.871,281.026,0.113,2.28,Nitrogen,0.023,2.942,12153.128,1.945,39.26,Carbon,1,,,,,
165-016C-56_GREEN_8_23_2023 11_15_34 AM_024,165-016C-56_GREEN,,3.183,,1.849,235.428,0.097,,3.06,Nitrogen,0.031,2.991,7688.544,1.202,,37.76,,,
165-016C-56-DRY_7_14_2023 10_04_06 AM_013,165-016C-56-DRY,4.822,1.871,234.712,0.089,1.85,Nitrogen,0.02,2.973,12016.635,1.868,38.74,Carbon,1,,,,,
165-016C-57_GREEN_8_23_2023 10_21_25 AM_015,165-016C-57_GREEN,,3.375,,1.849,262.856,0.108,,3.2,Nitrogen,0.031,2.978,8373.052,1.314,,38.94,,,
165-016C-59_GREEN_8_22_2023 11_36_25 AM_017,165-016C-59_GREEN,3.224,1.853,211.218,0.087,2.71,Nitrogen,0.027,2.991,7965.456,1.257,38.97,Carbon,1,,,,,
165-016C-59-DRY_7_13_2023 3_53_27 PM_058,165-016C-59-DRY,4.976,1.858,186.189,0.073,1.47,Nitrogen,0.015,2.947,12250.954,1.929,38.78,Carbon,1,,,,,
165-016C-60_GREEN_8_23_2023 10_57_31 AM_021,165-016C-60_GREEN,,3.238,,1.849,239.258,0.099,,3.05,Nitrogen,0.031,2.991,7752.761,1.212,,37.44,,,
165-016C-60-DRY_7_13_2023 4_29_33 PM_064,165-016C-60-DRY,4.338,1.862,235.012,0.092,2.12,Nitrogen,0.023,2.982,10238.775,1.594,36.75,Carbon,1,,,,,
165-016C-61_GREEN_8_23_2023 11_03_32 AM_022,165-016C-61_GREEN,,3.466,,1.849,250.199,0.103,,2.97,Nitrogen,0.03,2.978,8478.148,1.332,,38.42,,,
165-016C-61-DRY_7_13_2023 4_35_35 PM_065,165-016C-61-DRY,4.791,1.849,182.948,0.072,1.5,Nitrogen,0.017,2.96,10943.98,1.711,35.71,Carbon,1,,,,,
165-016C-63_GREEN_8_22_2023 9_20_28 PM_114,165-016C-63_GREEN,3.271,1.844,266.009,0.109,3.33,Nitrogen,0.032,2.978,8239.171,1.302,39.8,Carbon,1,,,,,
165-016C-63-DRY_7_14_2023 10_10_06 AM_014,165-016C-63-DRY,4.903,1.871,237.686,0.091,1.85,Nitrogen,0.019,2.96,12370.061,1.927,39.3,Carbon,1,,,,,
165-016C-65_GREEN_8_22_2023 12_12_32 PM_023,165-016C-65_GREEN,3.264,1.853,215.678,0.089,2.73,Nitrogen,0.027,2.987,8106.57,1.28,39.21,Carbon,1,,,,,
165-016C-65-DRY_7_13_2023 3_59_28 PM_059,165-016C-65-DRY,4.559,1.858,233.031,0.091,2,Nitrogen,0.02,2.964,11565.253,1.814,39.8,Carbon,1,,,,,
165-019-11_GREEN_8_22_2023 4_49_38 PM_069,165-019-11_GREEN,3.406,1.831,318.356,0.13,3.81,Nitrogen,0.041,2.978,7860.397,1.239,36.38,Carbon,1,,,,,
165-019-11-DRY_8_10_2023 4_39_43 PM_067,165-019-11-DRY,4.898,1.867,219.8,0.089,1.81,Nitrogen,0.02,2.947,11065.724,1.759,35.91,Carbon,1,,,,,
165-019-11-DRY_8_10_2023 4_39_43 PM_067,165-019-11-DRY,4.898,1.867,219.8,0.089,1.81,Nitrogen,0.02,2.947,11065.724,1.759,35.91,Carbon,1,,,,,
165-019-13 DEAD_8_25_2023 12_39_56 PM_023,165-019-13 DEAD,0.55,1.853,22.532,0.013,2.3,Nitrogen,0.017,3.173,1343.366,0.197,35.86,Carbon,1,,,,,
165-025-02-DRY_8_9_2023 2_29_51 PM_042,165-025-02-DRY,4.758,1.871,288.55,0.116,2.44,Nitrogen,0.026,2.956,11246.155,1.783,37.48,Carbon,1,,,,,
165-025-02-GREEN_8_17_2023 4_57_30 PM_064,165-025-02-GREEN,3.278,1.849,312.662,0.126,3.86,Nitrogen,0.039,2.996,7940.547,1.243,37.92,Carbon,1,,,,,
165-025-04-DRY_8_11_2023 5_55_10 PM_075,165-025-04-DRY,4.498,1.853,306.69,0.124,2.76,Nitrogen,0.028,2.929,11130.151,1.784,39.67,Carbon,1,,,,,
165-025-04-GREEN_8_15_2023 12_28_36 PM_023,165-025-04-GREEN,3.423,1.862,337.089,0.135,3.96,Nitrogen,0.038,2.991,8867.843,1.391,40.65,Carbon,1,,,,,
165-025-06-DRY_8_11_2023 6_19_15 PM_079,165-025-06-DRY,4.287,1.849,324.4,0.131,3.06,Nitrogen,0.032,2.947,10208.89,1.628,37.97,Carbon,1,,,,,
165-025-06-GREEN_8_15_2023 12_34_37 PM_024,165-025-06-GREEN,3.193,1.858,328.46,0.132,4.13,Nitrogen,0.041,3,7950.756,1.241,38.86,Carbon,1,,,,,
165-025-07-DRY_8_11_2023 6_43_19 PM_083,165-025-07-DRY,4.26,1.849,395.928,0.159,3.74,Nitrogen,0.032,2.902,12462.612,2.014,47.27,Carbon,1,,,,,
165-025-07-GREEN_8_15_2023 3_40_50 PM_043,165-025-07-GREEN,3.456,1.858,315.191,0.127,3.67,Nitrogen,0.037,3,8489.33,1.329,38.45,Carbon,1,,,,,
165-025-08-DRY_8_15_2023 1_04_43 PM_029,165-025-08-DRY,4.808,1.867,284.247,0.115,2.38,Nitrogen,0.027,2.96,10699.431,1.697,35.3,Carbon,1,,,,,
165-025-08-GREEN_8_17_2023 12_20_42 PM_018,165-025-08-GREEN,3.379,1.862,300.011,0.121,3.59,Nitrogen,0.037,3.004,8143.548,1.276,37.77,Carbon,1,,,,,
165-025-09-DRY_7_13_2023 2_35_13 PM_045,165-025-09-DRY,4.734,1.853,330.208,0.129,2.72,Nitrogen,0.028,2.96,11659.399,1.83,38.66,Carbon,1,,,,,
165-025-10-DRY_8_11_2023 6_25_16 PM_080,165-025-10-DRY,4.07,1.853,324.793,0.131,3.22,Nitrogen,0.032,2.947,10081.924,1.607,39.47,Carbon,1,,,,,
165-025-12_GREEN_8_23_2023 4_54_03 PM_078,165-025-12_GREEN,,3.407,,1.831,295.367,0.121,,3.55,Nitrogen,0.041,2.991,7248.334,1.13,,33.17,,,
165-025-12-DRY_8_11_2023 1_26_59 PM_031,165-025-12-DRY,4.251,1.858,310.419,0.126,2.95,Nitrogen,0.03,2.947,10511.95,1.679,39.5,Carbon,1,,,,,
165-025-13-DRY_7_13_2023 2_29_12 PM_044,165-025-13-DRY,4.383,1.849,356.765,0.139,3.17,Nitrogen,0.033,2.969,10946.351,1.711,39.05,Carbon,1,,,,,
165-025-13-GREEN_8_15_2023 12_40_38 PM_025,165-025-13-GREEN,3.121,1.858,342.241,0.137,4.4,Nitrogen,0.043,3.004,7923.086,1.236,39.61,Carbon,1,,,,,
165-025-15_GREEN_8_22_2023 1_18_54 PM_034,165-025-15_GREEN,3.019,1.836,317.608,0.13,4.29,Nitrogen,0.043,2.987,7424.898,1.168,38.68,Carbon,1,,,,,
165-025-15-DRY_8_11_2023 1_02_55 PM_027,165-025-15-DRY,4.411,1.858,358.783,0.145,3.28,Nitrogen,0.034,2.947,10510.802,1.679,38.06,Carbon,1,,,,,
165-025-16_GREEN_8_22_2023 6_43_59 PM_088,165-025-16_GREEN,3.297,1.84,190.382,0.079,2.4,Nitrogen,0.024,2.982,7826.001,1.234,37.41,Carbon,1,,,,,
165-025-16-DRY_8_10_2023 1_50_57 PM_039,165-025-16-DRY,4.373,1.88,153.955,0.063,1.44,Nitrogen,0.015,2.978,10049.922,1.588,36.31,Carbon,1,,,,,
165-025-16-DRY_8_10_2023 1_50_57 PM_039,165-025-16-DRY,4.373,1.88,153.955,0.063,1.44,Nitrogen,0.015,2.978,10049.922,1.588,36.31,Carbon,1,,,,,
165-025-16-GREEN_8_15_2023 3_10_45 PM_038,165-025-16-GREEN,3.192,1.858,311.749,0.125,3.93,Nitrogen,0.039,3.009,8060.893,1.259,39.43,Carbon,1,,,,,
165-025-17_GREEN_8_22_2023 12_42_37 PM_028,165-025-17_GREEN,3.02,1.849,266.737,0.109,3.62,Nitrogen,0.037,3.004,7243.928,1.138,37.68,Carbon,1,,,,,
165-025-17-DRY_8_11_2023 3_24_44 PM_050,165-025-17-DRY,4.213,1.858,296.918,0.12,2.85,Nitrogen,0.03,2.956,9756.39,1.552,36.83,Carbon,1,,,,,
165-025-22_GREEN_8_22_2023 7_20_06 PM_094,165-025-22_GREEN,3.143,1.836,290.467,0.119,3.78,Nitrogen,0.037,2.973,7916.636,1.248,39.72,Carbon,1,,,,,
165-025-22-DRY_8_10_2023 1_38_55 PM_037,165-025-22-DRY,4.34,1.871,261.169,0.105,2.42,Nitrogen,0.024,2.964,10702.996,1.698,39.12,Carbon,1,,,,,
165-025-22-DRY_8_10_2023 1_38_55 PM_037,165-025-22-DRY,4.34,1.871,261.169,0.105,2.42,Nitrogen,0.024,2.964,10702.996,1.698,39.12,Carbon,1,,,,,
165-025-25_GREEN_8_22_2023 6_56_01 PM_090,165-025-25_GREEN,3.142,1.84,250.694,0.103,3.28,Nitrogen,0.029,2.96,8681.931,1.375,43.77,Carbon,1,,,,,
165-025-25-DRY_8_10_2023 1_56_58 PM_040,165-025-25-DRY,4.596,1.876,245.455,0.099,2.15,Nitrogen,0.022,2.951,11386.972,1.814,39.46,Carbon,1,,,,,
165-025-25-DRY_8_10_2023 1_56_58 PM_040,165-025-25-DRY,4.596,1.876,245.455,0.099,2.15,Nitrogen,0.022,2.951,11386.972,1.814,39.46,Carbon,1,,,,,
165-025-26_GREEN_8_22_2023 7_02_02 PM_091,165-025-26_GREEN,3.257,1.836,267.498,0.11,3.37,Nitrogen,0.034,2.978,7794.617,1.228,37.72,Carbon,1,,,,,
165-025-26-DRY_8_10_2023 1_32_54 PM_036,165-025-26-DRY,4.92,1.884,191.54,0.078,1.58,Nitrogen,0.017,2.96,11188.6,1.78,36.18,Carbon,1,,,,,
165-025-26-DRY_8_10_2023 1_32_54 PM_036,165-025-26-DRY,4.92,1.884,191.54,0.078,1.58,Nitrogen,0.017,2.96,11188.6,1.78,36.18,Carbon,1,,,,,
165-025-27_GREEN_8_22_2023 7_26_07 PM_095,165-025-27_GREEN,3.237,1.84,222.658,0.092,2.84,Nitrogen,0.029,2.982,7692.667,1.212,37.43,Carbon,1,,,,,
165-025-27-DRY_8_10_2023 1_44_56 PM_038,165-025-27-DRY,4.461,1.876,156.434,0.064,1.43,Nitrogen,0.015,2.969,10220.94,1.616,36.23,Carbon,1,,,,,
165-025-27-DRY_8_10_2023 1_44_56 PM_038,165-025-27-DRY,4.461,1.876,156.434,0.064,1.43,Nitrogen,0.015,2.969,10220.94,1.616,36.23,Carbon,1,,,,,
165-025-28_GREEN_8_22_2023 7_44_10 PM_098,165-025-28_GREEN,3.487,1.844,210.954,0.087,2.5,Nitrogen,0.025,2.969,8572.502,1.357,38.92,Carbon,1,,,,,
165-025-28-DRY_8_10_2023 2_02_59 PM_041,165-025-28-DRY,4.428,1.88,189.335,0.077,1.74,Nitrogen,0.017,2.969,10921.672,1.735,39.17,Carbon,1,,,,,
165-025-28-DRY_8_10_2023 2_02_59 PM_041,165-025-28-DRY,4.428,1.88,189.335,0.077,1.74,Nitrogen,0.017,2.969,10921.672,1.735,39.17,Carbon,1,,,,,
165-025B-31_GREEN_8_23_2023 10_15_24 AM_014,165-025B-31_GREEN,,3.115,,1.849,229.311,0.095,,3.04,Nitrogen,0.03,2.996,7587.696,1.185,,38.05,,,
165-025B-31-DRY_8_10_2023 2_27_03 PM_045,165-025B-31-DRY,4.465,1.867,326.964,0.131,2.94,Nitrogen,0.03,2.956,10996.186,1.747,39.13,Carbon,1,,,,,
165-025B-31-DRY_8_10_2023 2_27_03 PM_045,165-025B-31-DRY,4.465,1.867,326.964,0.131,2.94,Nitrogen,0.03,2.956,10996.186,1.747,39.13,Carbon,1,,,,,
165-025B-34_GREEN_8_23_2023 10_33_27 AM_017,165-025B-34_GREEN,,3.376,,1.853,218.896,0.091,,2.69,Nitrogen,0.026,2.982,8392.424,1.317,,39.02,,,
165-025B-34-DRY_8_10_2023 2_33_04 PM_046,165-025B-34-DRY,4.571,1.871,217.689,0.088,1.93,Nitrogen,0.02,2.951,10997.85,1.747,38.23,Carbon,1,,,,,
165-025B-34-DRY_8_10_2023 2_33_04 PM_046,165-025B-34-DRY,4.571,1.871,217.689,0.088,1.93,Nitrogen,0.02,2.951,10997.85,1.747,38.23,Carbon,1,,,,,
165-025B-38_GREEN_8_23_2023 2_46_40 PM_059,165-025B-38_GREEN,165-009-96_GREEN,3.324,3.252,1.84,244.44,0.101,3.11,3.03,Nitrogen,0.031,2.987,7837.061,1.226,37.7,36.89,,,
165-025B-38-DRY_8_10_2023 5_39_53 PM_077,165-025B-38-DRY,4.714,1.871,209.045,0.085,1.8,Nitrogen,0.021,2.969,10188.321,1.611,34.17,Carbon,1,,,,,
165-025B-38-DRY_8_10_2023 5_39_53 PM_077,165-025B-38-DRY,4.714,1.871,209.045,0.085,1.8,Nitrogen,0.021,2.969,10188.321,1.611,34.17,Carbon,1,,,,,
165-025B-40_GREEN_8_22_2023 11_30_24 AM_016,165-025B-40_GREEN,3.229,1.844,247.681,0.102,3.15,Nitrogen,0.032,2.991,7634.425,1.202,37.23,Carbon,1,,,,,
165-025B-40-DRY_7_13_2023 3_47_26 PM_057,165-025B-40-DRY,4.781,1.853,252.885,0.099,2.07,Nitrogen,0.022,2.964,11295.551,1.769,37.01,Carbon,1,,,,,
165-025B-49-DRY_8_10_2023 6_09_58 PM_082,165-025B-49-DRY,4.528,1.862,212.45,0.086,1.9,Nitrogen,0.021,2.96,10129.888,1.601,35.36,Carbon,1,,,,,
165-025B-49-DRY_8_10_2023 6_09_58 PM_082,165-025B-49-DRY,4.528,1.862,212.45,0.086,1.9,Nitrogen,0.021,2.96,10129.888,1.601,35.36,Carbon,1,,,,,
165-025B-49-GREEN_7_14_2023 10_40_12 AM_019,165-025B-49-GREEN,3.092,1.858,262.096,0.1,3.23,Nitrogen,0.035,3.049,7433.63,1.126,36.43,Carbon,1,,,,,
165-025B-53-DRY_8_10_2023 5_45_54 PM_078,165-025B-53-DRY,4.425,1.867,173.542,0.071,1.6,Nitrogen,0.017,2.969,10020.72,1.583,35.77,Carbon,1,,,,,
165-025B-53-DRY_8_10_2023 5_45_54 PM_078,165-025B-53-DRY,4.425,1.867,173.542,0.071,1.6,Nitrogen,0.017,2.969,10020.72,1.583,35.77,Carbon,1,,,,,
165-025B-53-GREEN_7_14_2023 10_58_15 AM_022,165-025B-53-GREEN,3.483,1.862,237.551,0.09,2.6,Nitrogen,0.028,3.027,8617.483,1.315,37.75,Carbon,1,,,,,
165-025B-55-DRY_8_10_2023 6_22_00 PM_084,165-025B-55-DRY,4.691,1.876,206.378,0.084,1.78,Nitrogen,0.02,2.973,10143.329,1.603,34.18,Carbon,1,,,,,
165-025B-55-DRY_8_10_2023 6_22_00 PM_084,165-025B-55-DRY,4.691,1.876,206.378,0.084,1.78,Nitrogen,0.02,2.973,10143.329,1.603,34.18,Carbon,1,,,,,
165-025B-55-GREEN_7_14_2023 10_34_11 AM_018,165-025B-55-GREEN,3.224,1.858,253.798,0.097,3,Nitrogen,0.033,3.049,7669.654,1.164,36.1,Carbon,1,,,,,
165-026B-211-DRY_8_10_2023 5_15_49 PM_073,165-026B-211-DRY,4.948,1.871,209.96,0.085,1.72,Nitrogen,0.019,2.951,11152.88,1.774,35.85,Carbon,1,,,,,
165-026B-211-DRY_8_10_2023 5_15_49 PM_073,165-026B-211-DRY,4.948,1.871,209.96,0.085,1.72,Nitrogen,0.019,2.951,11152.88,1.774,35.85,Carbon,1,,,,,
165-026B-226-DRY_8_10_2023 2_45_06 PM_048,165-026B-226-DRY,4.937,1.876,308.052,0.124,2.51,Nitrogen,0.027,2.951,11612.887,1.852,37.52,Carbon,1,,,,,
165-026B-226-DRY_8_10_2023 2_45_06 PM_048,165-026B-226-DRY,4.937,1.876,308.052,0.124,2.51,Nitrogen,0.027,2.951,11612.887,1.852,37.52,Carbon,1,,,,,
165-026B-227-DRY_8_10_2023 2_39_05 PM_047,165-026B-227-DRY,4.142,1.871,255.768,0.103,2.49,Nitrogen,0.025,2.973,10128.408,1.601,38.65,Carbon,1,,,,,
165-026B-227-DRY_8_10_2023 2_39_05 PM_047,165-026B-227-DRY,4.142,1.871,255.768,0.103,2.49,Nitrogen,0.025,2.973,10128.408,1.601,38.65,Carbon,1,,,,,
165-16B-23_GREEN_8_22_2023 1_24_55 PM_035,165-16B-23_GREEN,3.061,1.844,313.529,0.128,4.18,Nitrogen,0.04,2.987,7892.368,1.244,40.66,Carbon,1,,,,,
165-16B-26_GREEN_8_22_2023 6_19_54 PM_084,165-16B-26_GREEN,3.36,1.836,319.619,0.13,3.88,Nitrogen,0.037,2.96,8595.036,1.361,40.5,Carbon,1,,,,,
165-16B-26-DRY_8_11_2023 1_14_57 PM_029,165-16B-26-DRY,4.135,1.858,246.369,0.1,2.43,Nitrogen,0.024,2.951,10339.77,1.65,39.9,Carbon,1,,,,,
165-26B-193_GREEN_8_22_2023 5_25_44 PM_075,165-26B-193_GREEN,3.056,1.836,266.345,0.109,3.57,Nitrogen,0.036,2.982,7501,1.18,38.62,Carbon,1,,,,,
165-26B-193-DRY_8_15_2023 12_46_39 PM_026,165-26B-193-DRY,4.457,1.867,282.34,0.114,2.55,Nitrogen,0.026,2.96,10998.433,1.748,39.22,Carbon,1,,,,,
165-26B-207_GREEN_8_24_2023 11_23_02 AM_027,165-26B-207_GREEN,3.252,1.84,288.262,0.118,3.63,Nitrogen,0.036,2.987,7943.831,1.25,38.45,Carbon,1,,,,,
165-26B-207-DRY_8_10_2023 12_44_33 PM_028,165-26B-207-DRY,4.71,1.876,312.898,0.126,2.67,Nitrogen,0.028,2.96,11369.396,1.811,38.44,Carbon,1,,,,,
165-26B-207-DRY_8_10_2023 12_44_33 PM_028,165-26B-207-DRY,4.71,1.876,312.898,0.126,2.67,Nitrogen,0.028,2.96,11369.396,1.811,38.44,Carbon,1,,,,,
165-26B-208_GREEN_8_24_2023 10_58_57 AM_023,165-26B-208_GREEN,3.332,1.84,230.217,0.095,2.85,Nitrogen,0.028,2.982,8090.543,1.274,38.25,Carbon,1,,,,,
165-26B-208-DRY_8_10_2023 11_44_23 AM_018,165-26B-208-DRY,4.759,1.88,210.675,0.085,1.79,Nitrogen,0.019,2.96,11085.151,1.762,37.03,Carbon,1,,,,,
165-26B-208-DRY_8_10_2023 11_44_23 AM_018,165-26B-208-DRY,4.759,1.88,210.675,0.085,1.79,Nitrogen,0.019,2.96,11085.151,1.762,37.03,Carbon,1,,,,,
165-26B-211-GREEN_8_17_2023 1_02_49 PM_025,165-26B-211-GREEN,3.374,1.858,262.013,0.107,3.16,Nitrogen,0.032,3,8106.643,1.27,37.64,Carbon,1,,,,,
165-26B-212_GREEN_8_22_2023 3_55_28 PM_060,165-26B-212_GREEN,3.032,1.84,249.312,0.102,3.38,Nitrogen,0.033,2.991,7602.366,1.197,39.47,Carbon,1,,,,,
165-26B-215 DEAD_8_24_2023 5_22_50 PM_084,165-26B-215 DEAD,3.607,1.853,96.559,0.042,1.16,Nitrogen,0.011,2.973,8714.001,1.378,38.19,Carbon,1,,,,,
165-26B-220_GREEN_8_22_2023 9_14_27 PM_113,165-26B-220_GREEN,3.375,1.844,220.268,0.091,2.69,Nitrogen,0.026,2.978,8317.797,1.315,38.96,Carbon,1,,,,,
165-26B-222_GREEN_8_22_2023 1_06_52 PM_032,165-26B-222_GREEN,3.378,1.844,315.391,0.129,3.81,Nitrogen,0.04,2.982,7979.402,1.259,37.27,Carbon,1,,,,,
165-26B-222-DRY_8_11_2023 3_18_43 PM_049,165-26B-222-DRY,4.75,1.858,304.21,0.123,2.59,Nitrogen,0.028,2.938,10977.784,1.758,37.02,Carbon,1,,,,,
165-26B-226_GREEN_8_23_2023 10_39_28 AM_018,165-26B-226_GREEN,,3.226,,1.849,251.191,0.103,,3.21,Nitrogen,0.033,2.996,7637.308,1.194,,37,,,
165-26B-227-GREEN_8_17_2023 5_21_34 PM_068,165-26B-227-GREEN,3.446,1.858,299.447,0.121,3.52,Nitrogen,0.035,2.996,8510.176,1.336,38.78,Carbon,1,,,,,
165-26C-195_GREEN_8_22_2023 5_07_41 PM_072,165-26C-195_GREEN,3.362,1.836,273.274,0.112,3.33,Nitrogen,0.032,2.96,8614.01,1.364,40.57,Carbon,1,,,,,
165-26C-195-DRY_8_15_2023 12_52_40 PM_027,165-26C-195-DRY,4.434,1.858,302.733,0.122,2.75,Nitrogen,0.026,2.938,11432.387,1.822,41.08,Carbon,1,,,,,
165-26C-209-DRY_7_13_2023 1_41_03 PM_036,165-26C-209-DRY,4.741,1.853,330.198,0.129,2.71,Nitrogen,0.028,2.951,11920.423,1.874,39.53,Carbon,1,,,,,
165-26C-209-GREEN_8_17_2023 1_56_59 PM_034,165-26C-209-GREEN,3.157,1.853,313.662,0.127,4.02,Nitrogen,0.039,2.991,8069.08,1.264,40.04,Carbon,1,,,,,
165-26C-210_GREEN_8_23_2023 2_58_42 PM_061,165-26C-210_GREEN,165-009B-28_GREEN,3.386,3.455,1.84,307.323,0.126,3.65,3.71,Nitrogen,0.036,2.973,8575.464,1.348,39.02,39.8,,,
165-26C-210-DRY_8_17_2023 4_33_26 PM_060,165-26C-210-DRY,4.601,1.853,287.07,0.116,2.53,Nitrogen,0.026,2.942,11257.09,1.795,39.01,Carbon,1,,,,,
165-26C-226_GREEN_8_22_2023 11_48_27 AM_019,165-26C-226_GREEN,3.215,1.853,230.952,0.095,2.96,Nitrogen,0.029,3,7832.602,1.235,38.4,Carbon,1,,,,,
165-26C-226-DRY_7_13_2023 3_35_24 PM_055,165-26C-226-DRY,4.813,1.858,241.726,0.095,1.97,Nitrogen,0.021,2.964,11554.203,1.813,37.66,Carbon,1,,,,,
165-26C-228_GREEN_8_22_2023 11_54_28 AM_020,165-26C-228_GREEN,3.352,1.844,237.589,0.098,2.92,Nitrogen,0.029,2.982,8135.083,1.285,38.32,Carbon,1,,,,,
165-26C-228-DRY_7_13_2023 3_29_23 PM_054,165-26C-228-DRY,4.354,1.858,195.713,0.077,1.77,Nitrogen,0.018,2.978,10624.616,1.658,38.08,Carbon,1,,,,,
165-26C-229-DRY_8_11_2023 6_01_11 PM_076,165-26C-229-DRY,4.488,1.853,255.821,0.104,2.32,Nitrogen,0.025,2.942,10404.137,1.661,37.01,Carbon,1,,,,,
165-26C-229-GREEN_7_14_2023 10_46_13 AM_020,165-26C-229-GREEN,3.358,1.862,303.438,0.116,3.44,Nitrogen,0.037,3.036,8273.866,1.26,37.52,Carbon,1,,,,,
165-26D-192_GREEN_8_22_2023 4_43_37 PM_068,165-26D-192_GREEN,3.416,1.84,306.081,0.125,3.66,Nitrogen,0.036,2.969,8487.871,1.343,39.31,Carbon,1,,,,,
165-26D-192-DRY_8_11_2023 7_01_22 PM_086,165-26D-192-DRY,4.443,1.849,279.975,0.114,2.56,Nitrogen,0.026,2.933,10725.834,1.716,38.61,Carbon,1,,,,,
165-26D-197_GREEN_8_22_2023 5_13_42 PM_073,165-26D-197_GREEN,3.33,1.84,326.959,0.133,4,Nitrogen,0.039,2.969,8369.371,1.323,39.74,Carbon,1,,,,,
165-26D-197-DRY_8_15_2023 12_16_34 PM_021,165-26D-197-DRY,4.219,1.867,262.052,0.106,2.51,Nitrogen,0.026,2.973,10200.015,1.613,38.24,Carbon,1,,,,,
165-26D-206_GREEN_8_24_2023 11_35_04 AM_029,165-26D-206_GREEN,3.444,1.84,243.46,0.1,2.91,Nitrogen,0.03,2.978,8106.923,1.277,37.08,Carbon,1,,,,,
165-26D-206-DRY_8_10_2023 12_26_31 PM_025,165-26D-206-DRY,4.802,1.88,239.872,0.097,2.02,Nitrogen,0.021,2.96,11391.727,1.814,37.78,Carbon,1,,,,,
165-26D-206-DRY_8_10_2023 12_26_31 PM_025,165-26D-206-DRY,4.802,1.88,239.872,0.097,2.02,Nitrogen,0.021,2.96,11391.727,1.814,37.78,Carbon,1,,,,,
165-26D-213 DEAD_8_24_2023 6_10_58 PM_092,165-26D-213 DEAD,4.486,1.844,245.356,0.101,2.25,Nitrogen,0.026,2.96,9504.229,1.509,33.64,Carbon,1,,,,,
165-26D-217_GREEN_8_23_2023 2_34_38 PM_057,165-26D-217_GREEN,165-009B-113_GREEN,3.249,3.216,1.84,276.759,0.114,3.54,3.5,Nitrogen,0.035,2.987,7821.028,1.224,38.06,37.66,,,
165-26D-224_GREEN_8_22_2023 7_32_08 PM_096,165-26D-224_GREEN,3.096,1.836,246.823,0.101,3.28,Nitrogen,0.032,2.982,7635.479,1.202,38.83,Carbon,1,,,,,
165-26D-224-DRY_8_11_2023 5_49_09 PM_074,165-26D-224-DRY,4.618,1.858,201.024,0.082,1.79,Nitrogen,0.02,2.951,10099.118,1.609,34.85,Carbon,1,,,,,
165-26E-194_GREEN_8_22_2023 5_01_40 PM_071,165-26E-194_GREEN,3.232,1.84,319.197,0.13,4.03,Nitrogen,0.039,2.973,8136.876,1.285,39.75,Carbon,1,,,,,
165-26E-196_GREEN_8_22_2023 4_37_36 PM_067,165-26E-196_GREEN,3.188,1.84,279.945,0.115,3.59,Nitrogen,0.035,2.978,7934.96,1.252,39.26,Carbon,1,,,,,
165-26E-198_GREEN_8_22_2023 4_55_39 PM_070,165-26E-198_GREEN,3.073,1.836,309.215,0.126,4.11,Nitrogen,0.04,2.982,7648.59,1.204,39.19,Carbon,1,,,,,
165-26E-214 DEAD_8_24_2023 4_58_46 PM_080,165-26E-214 DEAD,3.659,1.849,153.689,0.064,1.76,Nitrogen,0.017,2.973,9032.644,1.43,39.1,Carbon,1,,,,,
165-26E-219_GREEN_8_22_2023 9_02_24 PM_111,165-26E-219_GREEN,3.251,1.844,237.113,0.098,3,Nitrogen,0.03,2.982,7783.055,1.226,37.73,Carbon,1,,,,,
